QGPIORecord, QRC v6.1.0, 18-12-2024 @ 20:42:33, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2
33024, 0, 0, 0, 0, 0.00010004, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33033, 0, 0, 0, 0, 0.000100041, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33043, 0, 0, 0, 0, 0.000100041, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33053, 0, 0, 0, 0, 0.000100041, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33063, 0, 0, 0, 0, 0.000100041, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33073, 0, 0, 0, 0, 0.000100041, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33083, 0, 0, 0, 0, 0.000100041, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33093, 0, 0, 0, 0, 0.000100041, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33103, 0, 0, 0, 0, 0.000100041, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33113, 0, 0, 0, 0, 0.000100041, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33123, 0, 0, 0, 0, 0.000100041, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33133, 0, 0, 0, 0, 0.000100042, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33143, 0, 0, 0, 0, 0.000100042, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33154, 0, 0, 0, 0, 0.000100042, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33163, 0, 0, 0, 0, 0.000100042, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33173, 0, 0, 0, 0, 0.000100042, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33183, 0, 0, 0, 0, 0.000100042, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33193, 0, 0, 0, 0, 0.000100042, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33203, 0, 0, 0, 0, 0.000100042, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33213, 0, 0, 0, 0, 0.000100042, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33223, 0, 0, 0, 0, 0.000100042, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33233, 0, 0, 0, 0, 0.000100043, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33243, 0, 0, 0, 0, 0.000100043, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33253, 0, 0, 0, 0, 0.000100043, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33263, 0, 0, 0, 0, 0.000100043, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33273, 0, 0, 0, 0, 0.000100043, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33283, 0, 0, 0, 0, 0.000100043, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33293, 0, 0, 0, 0, 0.000100043, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33303, 0, 0, 0, 0, 0.000100043, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33313, 0, 0, 0, 0, 0.000100043, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33324, 0, 0, 0, 0, 0.000100043, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33333, 0, 0, 0, 0, 0.000100044, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33343, 0, 0, 0, 0, 0.000100044, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33353, 0, 0, 0, 0, 0.000100044, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33363, 0, 0, 0, 0, 0.000100044, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33373, 0, 0, 0, 0, 0.000100044, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33383, 0, 0, 0, 0, 0.000100044, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33393, 0, 0, 0, 0, 0.000100044, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33403, 0, 0, 0, 0, 0.000100044, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33413, 0, 0, 0, 0, 0.000100044, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33423, 0, 0, 0, 0, 0.000100045, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33433, 0, 0, 0, 0, 0.000100045, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33443, 0, 0, 0, 0, 0.000100045, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33453, 0, 0, 0, 0, 0.000100045, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33463, 0, 0, 0, 0, 0.000100045, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33473, 0, 0, 0, 0, 0.000100045, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33483, 0, 0, 0, 0, 0.000100045, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33494, 0, 0, 0, 0, 0.000100045, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33503, 0, 0, 0, 0, 0.000100045, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33513, 0, 0, 0, 0, 0.000100045, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33523, 0, 0, 0, 0, 0.000100046, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33533, 0, 0, 0, 0, 0.000100046, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33543, 0, 0, 0, 0, 0.000100046, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33553, 0, 0, 0, 0, 0.000100046, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33563, 0, 0, 0, 0, 0.000100046, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33573, 0, 0, 0, 0, 0.000100046, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33583, 0, 0, 0, 0, 0.000100046, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33593, 0, 0, 0, 0, 0.000100046, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
33603, 0, 0, 0, 0, 0.000100046, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
